repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions
0,0,792,198,rf,0.8669386200114649,0.31559716503989893,0.5617803530205546,0.4001810606060606,2.3319800000000024,0
0,0,792,198,gbr,0.8377326617803283,0.38486833614014315,0.620377575465251,0.4532592774468159,2.6275387865866806,0
0,0,792,198,svr,0.808728642029756,0.4536605462376978,0.6735432771824672,0.4628632880018644,3.057965894457941,0
0,0,792,198,mlp,0.870044394278999,0.3082308386559994,0.5551854092607256,0.3828736464519693,2.0122751617431645,1
0,0,792,198,pinn,0.8412870046729448,0.376438087328759,0.6135455055077488,0.41559684657689294,2.4960312767028805,1
0,0,792,198,stack_ridge,0.8923537159540285,0.25531722333644447,0.5052892472004965,0.3531812642893232,2.026113623453317,0
0,0,792,198,stack_nnls,0.892954993668722,0.2538911029837525,0.5038760789953741,0.35253153106958807,2.0224204749326224,0
0,1,792,198,rf,0.8642528189305088,0.3507543885212121,0.5922452097916978,0.4193735353535354,1.8681400000000008,0
0,1,792,198,gbr,0.8695106740217726,0.3371687233682443,0.5806623144033409,0.43729130125403426,1.869937101187782,0
0,1,792,198,svr,0.7817216237026916,0.5640050703253424,0.7510027099320896,0.5001522527508868,3.833101420225031,0
0,1,792,198,mlp,0.8804552123871001,0.30888935261643297,0.5557781505388935,0.36035123698157495,3.1653249893188473,0
0,1,792,198,pinn,0.875687130635284,0.3212095023690916,0.5667534758332688,0.37719654077291487,2.9249976310729977,1
0,1,792,198,stack_ridge,0.9042457107688389,0.24741756626508396,0.4974108626327776,0.35107415458237023,1.9500007847433856,0
0,1,792,198,stack_nnls,0.8993959677104263,0.2599487190119515,0.509851663733631,0.36198145836660356,2.171420781457332,0
0,2,792,198,rf,0.8332184421792149,0.38718195459040383,0.6222394672394252,0.4261028787878788,3.034379999999998,0
0,2,792,198,gbr,0.8327150373184126,0.38835060465281185,0.6231778274720723,0.44286696015355437,2.997729308610647,0
0,2,792,198,svr,0.7730386703208816,0.5268887782906094,0.7258710479765738,0.46944901728089156,3.8227806678666036,0
0,2,792,198,mlp,0.7979167603993318,0.46913450576246285,0.6849339426269243,0.4749430033847539,3.635594738006592,0
0,2,792,198,pinn,0.8358369890183773,0.3811030205846256,0.6173354198364335,0.4215187678854875,3.286635768890381,0
0,2,792,198,stack_ridge,0.8514445118285381,0.34487029037805333,0.5872565796805118,0.38946312510186065,3.4005087320919927,0
0,2,792,198,stack_nnls,0.8516560375925798,0.34437923513286894,0.5868383381587036,0.38998488079029514,3.383186432051395,0
0,3,792,198,rf,0.8268283052886236,0.48726137922424273,0.698041101386045,0.47773303030303044,3.1853000000000016,0
0,3,792,198,gbr,0.8309958010221508,0.4755350995778255,0.6895905303713397,0.49478079420396126,2.9050967407542494,0
